season,episode_number,title,airdate,rating,total_votes,desc,cast
1,1,Minimum Viable Product,6 Apr. 2014,7.7,2766,"Richard is a computer programmer. He has to choose between a $10 million deal with Gavin Belson and a $200,000 deal with Peter Gregory, in exchange for his cooperation to make the idea of a super compressing algorithm change the world.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Jill E. Alexander', 'Jack Foley', 'Charan Prabhakar', 'Rogelio T. Ramos', 'Biff Wiff', 'Herschel Boone', 'Jared Cohen', 'Andy Daly', 'Aly Mawji', 'Scott Prendergast']"
1,2,The Cap Table,13 Apr. 2014,7.7,2229,"Richard hires Jared to design a business plan. Big Head is asked to work for Gavin Belson, where he discovers that Hooli has stolen the Pied Piper algorithm and calls it Nucleus. Meanwhile Richard struggles to get his money from Gregory.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Lorena Flores', 'Brent Alan Henry', 'Eme Ikwuakor', 'Porscha Coleman', 'Bryant Ford-Bernard Jr.', 'Aly Mawji', 'Bernard White', 'Matt Ross', 'Jill E. Alexander', 'Joshua Fredric Smith']"
1,3,Articles of Incorporation,20 Apr. 2014,8.0,2145,"The guys find themselves in trouble with their company name when they find out it's already taken. So whilst Richard tries to find a solution, Erlich searches for a new name in another dimension of his consciousness.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Juliocesar Chavez', 'Dustyn Gulledge', 'Karen James', 'Jim Lau', 'Anil Margsahayam', 'Jimmy O. Yang', 'Eugene Cordero', 'Adam Lustick', 'Casey Sander', 'Matt Ross']"
1,4,Fiduciary Duties,27 Apr. 2014,7.7,1996,"Richard drunkenly promises to make Erlich a board member, which he regrets the next morning. Big Head finds others at Hooli, who like him, have made careers out of doing nothing. Richard struggles to put Pied Piper's vision into words.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Caroline Correa', 'Jimmy O. Yang', 'Andrew Shaw', 'Jeff Sloniker', 'Harrison Thomas', 'Ben Feldman', 'Michael Alba', 'Kaley Hatfield', 'Alana Hyland', 'Falon Johnson']"
1,5,Signaling Risk,4 May 2014,8.3,2045,"Now that Pied Piper is the official company name, Erlich wants a logotype to go with it so he hires a very unexpected artist in for the job. Meanwhile Richard gets a tighter deadline for the project after a simple mistake.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Jill E. Alexander', 'David Daskal', 'Marc Fajardo', 'Teddy Lane Jr.', 'Rogelio T. Ramos', ""Anthony 'Citric' Campos"", 'Scott Prendergast', 'Bernard White', 'Matt Ross', 'Ryan Babcock']"
1,6,Third Party Insourcing,11 May 2014,8.4,2065,"Richard comes across a problem in the code writing and hires Kevin, a young kid, to write the code for him.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Rj Enriquez', 'Matt Shea', 'Austin Abrams', 'Andy Daly', 'Griffin Gluck', 'Milana Vayntrub', 'Matt Ross']"
1,7,Proof of Concept,18 May 2014,8.5,2055,"Richard has trouble getting Pied Piper ready in time for the TechCrunch Disrupt, while Erlich realizes he slept with the wife of one of the judges of the contest.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Jill E. Alexander', 'Bobak Bakhtiari', 'Shainu Bala', 'Ursula Burton', 'Bobo Chang', 'Isaac Cheung', 'Efrain Gomez', 'Brandon Higa', 'Jason Kincaid', 'Jimmy O. Yang']"
1,8,Optimal Tip-To-Tip Efficiency,1 Jun. 2014,9.3,3712,Pied Piper makes it to the next stage of Disrupt but runs into trouble with Hooli's presentation. The guys break out into a ridiculous argument and Richard tries to pull Pied Piper together before the big presentation.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Christopher Evan Welch', 'Amanda Crew', 'Zach Woods', 'Asif Ali', 'Jessica Chaffin', 'David Fabrizio', 'David Goldman', 'Chase Kim', 'Jason Kincaid', 'Ben Zelevansky', 'Michael Arrington', 'Andy Buckley', 'Andrew Burlinson']"
2,1,Sand Hill Shuffle,12 Apr. 2015,8.2,1940,Monica deals with her new boss; Richard makes a decision about the company's future.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Alexander Chaplin', 'Aly Mawji', 'Jack Plotnick', 'Charan Prabhakar', 'David Rees Snell', 'Brian Tichnell', 'Tyler Beede', 'Mark Bloom']"
2,2,Runaway Devaluation,19 Apr. 2015,7.9,1665,"Richard and the guys struggle to find a backer as they face legal and financial woes. Meanwhile, an old enemy pays Richard a visit.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Ben Feldman', 'Avi Nash', 'David Rees Snell', 'Ian Alda', 'Elio Arturo Almas', 'Mark Bloom', 'Bruce Robert Cole', 'John Colella']"
